Country Name,Country Code,Indicator Name,Indicator Code,Years,Value
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1984,0
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1985,0
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1986,0
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1987,0
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1988,0
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1989,0
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1990,0
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1991,0
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1992,0
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1993,0
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1994,0
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1995,0
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1996,0
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1997,0
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1998,0
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1999,0
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2000,0
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2001,0
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2002,0
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2003,0
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2004,0
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2005,0
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2006,0
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2007,0
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2008,0
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2009,0
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2010,0
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2011,0
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2012,0
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2013,0
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2014,0
Angola,AGO,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1971,0
Angola,AGO,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1972,0
Angola,AGO,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1973,0
Angola,AGO,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1974,0
Angola,AGO,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1975,0
Angola,AGO,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1976,0
Angola,AGO,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1977,0
Angola,AGO,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1978,0
Angola,AGO,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1979,0
Angola,AGO,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1980,0
Angola,AGO,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1981,0
Angola,AGO,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1982,0
Angola,AGO,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1983,0
Angola,AGO,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1984,0
Angola,AGO,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1985,0
Angola,AGO,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1986,0
Angola,AGO,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1987,0
Angola,AGO,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,1988,0
